YEAR,TS,Tmax,Tmin,T,WS,RH,SH,PS,SI
2/10/1994,19.82,29.68,9.72,19.14,3.2,38.63,5.34,100.14,59.07
2/11/1994,18.12,27.21,9.95,18.18,2.9,20.76,2.69,100.37,73.61
2/12/1994,18.23,28.27,7.44,17.31,3,14.24,1.74,100.48,
2/13/1994,21.05,30.1,12.17,20.46,3.28,37.13,5.56,100.25,61.21
2/14/1994,18.96,26.21,11.55,18.19,5,32.08,4.15,100.7,75.1
2/15/1994,20.17,27.15,11.24,19.07,2.09,32.06,4.39,100.69,78.24
2/16/1994,19.91,27.38,11.08,18.79,2.79,35.59,4.78,100.86,78.73
2/17/1994,20.07,27.57,11.67,19.25,2.13,36.24,4.99,101.09,68.19
2/18/1994,20.98,27.9,12.74,20.17,2.04,33.14,4.84,101.02,80.64
2/19/1994,20.49,28.27,12.19,19.92,3.46,33.39,4.82,100.52,
2/20/1994,17.75,23.83,10.83,17.07,4.5,42.17,5.13,99.87,81.49
2/21/1994,14.79,23.29,7.06,14.32,3.96,32.01,3.26,100.05,80.45
2/22/1994,15.22,24.52,5.39,14.53,3.41,30.88,3.17,100.57,45.63
2/23/1994,17.01,26.81,7.24,16.38,2.79,28.53,3.29,100.76,73.96
2/24/1994,18.45,28.96,9.47,18.49,2.58,19.97,2.63,100.93,85.71
2/25/1994,21.32,31.71,13,21.39,3.41,19.35,3.05,100.81,84.51
2/26/1994,23.57,32.32,14.07,22.85,2.99,29.25,5.06,100.49,
2/27/1994,20.96,29.44,12.33,20.54,3.73,21.41,3.21,100.67,86.51
2/28/1994,20.2,30.64,9.91,20.29,2.23,16.73,2.46,100.91,
3/1/1994,20.69,30.78,13.02,21.94,1.97,14.88,2.42,100.84,91.43
3/2/1994,25.45,35.72,16.47,25.3,3.03,17.57,3.52,100.46,91.39
3/3/1994,25.4,32.11,18.11,24.77,3.52,24.78,4.81,100.44,93.76
3/4/1994,22.51,30.27,14.52,21.84,3.78,21.76,3.53,100.71,88.85
3/5/1994,23.18,32.31,12.89,22.9,1.78,18.42,3.19,100.69,
3/6/1994,22.53,32.46,15.62,24.23,1.84,14.39,2.7,100.5,92.1
3/7/1994,23.07,33.84,13.13,23.3,3.04,12.09,2.14,100.47,
3/8/1994,23.03,33.86,14.77,23.43,2.55,10.8,1.93,100.55,88.24
3/9/1994,25.76,36.8,15.84,25.84,2.6,15.75,3.26,100.44,85.24
3/10/1994,28.66,37.94,18.28,28.37,1.21,20.33,4.88,100.5,93.59
3/11/1994,28.56,37.59,20.51,28.26,2.34,20.04,4.79,100.27,84.16
3/12/1994,28.4,37.13,19.83,28,2.64,21.26,5,100.27,95.36
3/13/1994,29.95,38.95,21.56,29.41,2.33,19.74,5.05,100.12,97.1
3/14/1994,29.91,37.2,23.61,29.23,3.43,25.2,6.38,100.16,100.85
3/15/1994,29.56,36.89,21.99,28.37,2.08,16.52,3.97,100.26,100.18
3/16/1994,30.05,36.81,22.09,28.68,3.21,22.06,5.39,100.46,100.61
3/17/1994,30.38,38.4,20.41,29.09,2.84,22.74,5.69,100.51,102.73
3/18/1994,30.74,38.61,21.18,30.03,3.49,22.43,5.93,100.46,101.32
3/19/1994,31.07,38.01,22.51,29.68,4.39,25.03,6.5,100.16,100.99
3/20/1994,26.05,34.9,16.68,25.02,5.51,13.58,2.68,100.13,86.8
3/21/1994,25.37,34.37,14.48,24.9,2.74,15.4,3.02,100.1,78.1
3/22/1994,27.01,37.06,16.08,27.45,2.63,11.78,2.68,100.19,104.4
3/23/1994,29.63,39.71,18.56,29.64,2.23,12.15,3.14,100.19,
3/24/1994,31.83,40.72,21.28,30.68,3.22,17.6,4.84,100.08,106.15
3/25/1994,30.91,38.48,21.47,29.48,3.96,19.23,4.94,100.09,110.66
3/26/1994,29.69,38.59,19.16,29.37,3,13.38,3.4,100.35,91.25
3/27/1994,30.83,39,21.75,30.65,2.24,15.42,4.22,100.3,102.94
3/28/1994,32.64,39.74,23.12,31.68,2.72,18.68,5.44,100.12,80.48
3/29/1994,34.29,41.4,24.78,32.71,3.95,18.31,5.66,99.99,105.02
3/30/1994,32.51,38.81,23.92,30.65,3.14,26.59,7.31,100.11,112.43
3/31/1994,30.28,37.34,21.2,29.35,2.2,21.75,5.53,100.3,83.67
4/1/1994,29.96,39.22,19.38,29.67,2.65,10.77,2.8,99.94,83.73
4/2/1994,30.36,40.87,19.28,30.1,2.95,9.31,2.48,99.76,106.59
4/3/1994,30.07,38.41,20.23,29.73,3.16,20.45,5.36,99.59,104.16
4/4/1994,29.4,36.14,23.28,28.51,4.96,41.88,10.23,99.81,
4/5/1994,29.36,35.03,19.92,27.21,3.86,34.11,7.67,100.28,112.02
4/6/1994,22.14,31.16,13.96,21.54,5.27,8.47,1.35,100.59,
4/7/1994,22.75,32.4,11.11,22.11,2.61,11.31,1.87,100.47,104.86
4/8/1994,24.71,34.12,15.16,24.5,2.32,9.09,1.74,100.27,
4/9/1994,27.53,37.01,16.94,26.86,3.73,15.24,3.36,99.99,116.87
4/10/1994,28.05,37.42,18.07,28.27,3.16,8.7,2.08,100.16,119.77
4/11/1994,29.08,38.35,17.29,28.33,2.25,8.26,1.98,99.99,123.63
4/12/1994,28.14,36.23,18.04,27.44,2.6,12.42,2.83,100.02,122.66
4/13/1994,27.23,32.7,20.47,26.71,3.39,29.92,6.53,100.35,123.93
4/14/1994,29.65,34.84,20.36,27.33,2.45,33.38,7.54,100.57,122.16
4/15/1994,30.44,36.36,21.21,28.52,3.06,25.35,6.13,100.59,121.07
4/16/1994,28.74,35.89,19.62,27.65,3.33,18.71,4.3,100.58,122.61
4/17/1994,29.7,38.42,18.99,28.18,3.14,11.98,2.85,100.27,126.16
4/18/1994,28.47,37.34,20.81,28.42,2.03,15.59,3.78,99.7,126.06
4/19/1994,32.26,38.8,22.01,30.46,2.95,23.54,6.43,99.62,125.21
4/20/1994,32.08,39.24,23.75,31.12,3.76,19.42,5.5,99.64,
4/21/1994,32.39,40.69,21.21,30.82,4.13,14.73,4.1,99.61,123.69
4/22/1994,32,39.85,20.09,30.81,2.4,11.22,3.12,99.65,
4/23/1994,32.61,41.09,20.33,31.69,2.07,10.38,3.03,99.71,119.81
4/24/1994,32.57,40.81,21.4,32.11,2.49,12.29,3.67,99.91,
4/25/1994,34.9,43.42,23.43,33.5,2.29,10.42,3.37,99.61,120.24
4/26/1994,36.21,44.39,23.78,34.47,2.35,15.51,5.32,99.43,127.01
4/27/1994,37.31,45.52,26.32,35.66,2.56,14.79,5.4,99.65,129.77
4/28/1994,38.56,46.29,27.86,36.89,3.07,13.15,5.13,99.67,126.76
4/29/1994,38.89,46.82,26.29,36.79,2.87,14.19,5.53,99.35,127.11
4/30/1994,38.28,44.46,28.42,36.08,3.98,11.6,4.35,99.32,119.52
5/1/1994,37.35,44.91,25.93,35.39,2.83,12.94,4.67,99.41,105.03
5/2/1994,37.36,44.34,24.81,34.9,4.79,23.25,8.16,99.64,124.57
5/3/1994,36.47,41.77,26.54,33.77,4.44,30.82,10.15,99.81,125.25
5/4/1994,37.31,43.13,24.9,34.17,2.33,25.05,8.43,99.83,123.39
5/5/1994,38.33,45.14,26.11,35.92,3.05,22.47,8.34,99.61,119.14
5/6/1994,39.76,46.22,27.4,36.76,3.2,21.24,8.27,99.47,
5/7/1994,39.91,46.24,28.78,37.64,3.6,23.12,9.45,99.46,119.95
5/8/1994,38.74,43.59,29.01,36.71,5.66,14.15,5.48,99.63,
5/9/1994,36.04,43.12,24.49,34.11,5.22,6.67,2.23,99.5,126.33
5/10/1994,34.76,41.97,22.32,32.61,3.91,7.33,2.26,99.55,
5/11/1994,37.08,44.78,24.78,34.94,3.57,8.99,3.16,99.47,129.45
5/12/1994,35.76,40.45,25.94,33.29,4.18,22.01,7.07,99.46,128.77
5/13/1994,35.71,39.72,24.89,32.39,3.25,19,5.76,100.04,129.72
5/14/1994,36.64,42.63,24.91,34.54,1.84,14.08,4.81,100.13,128.5
5/15/1994,37.27,45.55,24.51,35.75,3.46,9.06,3.32,99.69,130.83
5/16/1994,38.94,47.34,27.28,37.27,4.06,8.89,3.55,99.34,128.69
5/17/1994,39.4,47.7,26.26,37.64,3.04,9.42,3.84,99.32,129.61
5/18/1994,40.83,48.89,27.16,38.42,2.68,10.13,4.32,99.22,127.87
5/19/1994,41.45,48.52,29.89,39.99,3.39,11.43,5.3,99.26,129.71
5/20/1994,42.09,48.94,29.28,39.49,2.57,10.23,4.6,99.46,130.85
5/21/1994,43.11,49.99,31.38,41.19,3.37,10.81,5.33,99.48,129.28
5/22/1994,41.69,48.36,30.17,39.64,4.36,8.93,4.05,99.36,
5/23/1994,41.91,48.92,29.31,39.5,3.86,10.41,4.71,99.03,125.91
5/24/1994,40.93,47.95,28.65,39.04,3.83,13.53,5.97,99.09,
5/25/1994,40.2,46.15,28.76,37.66,4.03,8.08,3.3,99.3,127.73
5/26/1994,40.43,47.19,30.03,38.97,1.81,8.24,3.61,99.3,
5/27/1994,41.16,48.45,29.12,39.66,3.21,8.23,3.75,99.2,132.29
5/28/1994,43.32,49.63,29.73,40.23,3.08,9.05,4.25,99.09,132.44
5/29/1994,43.2,49.66,29.91,40.16,4.44,14.59,6.85,98.99,133.37
5/30/1994,42.64,49.11,31.22,40.56,4.45,15.71,7.54,98.9,130.44
5/31/1994,41.07,47.39,30.19,39.31,3.75,9.33,4.18,98.87,131.78
6/1/1994,42.76,47.99,32.08,39.96,1.68,8.1,3.76,98.74,124.59
6/2/1994,42.83,48.69,29.25,39.28,2.75,12.76,5.73,98.68,126.97
6/3/1994,42.69,48.28,28.19,38.82,3.19,18.01,7.9,98.61,122.7
6/4/1994,41.82,47.81,29.32,38.7,4.67,25.01,10.92,98.65,122.38
6/5/1994,42.91,48.27,30.32,39.92,3.71,16.95,7.87,98.83,126.72
6/6/1994,45.14,49.75,32.2,41.51,2.45,13.09,6.61,98.81,124.27
6/7/1994,44.5,49.53,32.82,41.65,4.01,14.72,7.5,98.72,
6/8/1994,41.8,46.24,32.49,39.36,8.79,31.83,14.4,98.86,124.99
6/9/1994,40.7,46.54,30.14,38.01,9.67,34.72,14.61,98.82,
6/10/1994,40.85,46.52,30,37.64,7.97,30.71,12.68,98.59,126.03
6/11/1994,40.15,45.45,27.95,36.9,5.7,24.21,9.59,98.58,
6/12/1994,38.97,41.56,28.37,35.43,4.31,33.45,12.19,99.04,127.25
6/13/1994,39.57,41.63,31.24,36.71,3.25,26.47,10.32,99.13,125.68
6/14/1994,40.9,43.65,30.05,37.19,2.29,22.62,9.04,99.17,125.21
6/15/1994,42.63,45.83,31.41,39.03,3.04,19.52,8.65,98.76,74.6
6/16/1994,44.12,48.23,31.24,40.41,3.57,17.08,8.16,98.62,121.78
6/17/1994,44.09,49.7,31.73,41,5.14,17.13,8.44,98.7,115.18
6/18/1994,43.51,50.23,31.17,40.51,7.19,21.76,10.48,98.49,123.25
6/19/1994,41.09,47.03,28.45,37.87,7.06,31.14,13.04,98.5,120.96
6/20/1994,40.55,45.9,29.16,37.62,7.56,34.09,14.06,98.66,121.71
6/21/1994,40.77,46.05,29.79,38.15,7.31,30.92,13.13,98.63,125.38
6/22/1994,41.17,45.32,31.21,38.34,7.16,34.99,15.03,98.62,124.64
6/23/1994,42.04,45.32,31.95,38.83,5.43,35.91,15.81,98.77,
6/24/1994,43.41,47.29,33.15,40.36,5.64,29.09,13.91,98.64,51.4
6/25/1994,41.55,45.84,31.07,38.65,7.31,33.83,14.77,98.6,
6/26/1994,41.91,46.42,31.05,38.88,7.32,35.66,15.81,98.44,124.81
6/27/1994,41.3,44.76,30.11,37.77,5.65,35.97,15.01,98.4,
6/28/1994,43.17,45.7,31.82,39.18,4.79,33.43,15.03,98.51,125.61
6/29/1994,43.98,46.51,33.76,40.47,4.66,27.9,13.42,98.56,118.24
6/30/1994,43,45.88,33.8,39.73,6.26,32.73,15.14,98.64,128.52
7/1/1994,42.13,44.13,32.27,38.24,4.67,37.23,15.91,98.63,124.95
7/2/1994,42.34,43.34,34.03,38.93,3.51,33.28,14.74,98.7,125.14
7/3/1994,35.68,36.95,30.34,33.83,3.56,56.2,18.82,99.02,122.8
7/4/1994,34.07,36.24,29.4,32.71,3.48,62.86,19.75,99.19,126.62
7/5/1994,37.83,41.06,29.14,35.32,2.96,49.64,18.03,99.05,123.95
7/6/1994,38.85,42.05,30.86,36.26,4.5,46,17.62,98.93,125.21
7/7/1994,38.54,42.16,29.12,35.55,6.4,48.78,18,98.79,125.43
7/8/1994,40.82,44.71,30.19,37.56,4.82,43.96,18.15,98.55,125.32
7/9/1994,41.21,44.26,31.36,38.03,4.09,42.31,17.91,98.55,
7/10/1994,38.09,39.59,32.14,36.03,2.51,47.78,18.13,98.64,121.18
7/11/1994,40.08,42.55,31.93,37.39,3.41,42.26,17.3,98.44,
7/12/1994,37.32,39.45,31.31,35.6,3.63,49.58,18.38,98.61,121.56
7/13/1994,38.99,40.62,32.28,36.54,3.36,41.47,16.15,98.7,
7/14/1994,35.82,38.07,31.74,34.52,3.09,53.11,18.52,98.74,123.11
7/15/1994,35.44,38.34,30.51,34.14,4.84,55.68,19.01,98.82,121.39
7/16/1994,33.46,36.63,29.7,32.83,4.7,60.07,19.07,98.79,124.82
7/17/1994,36.2,38.94,29.47,34,3.23,57.01,19.3,98.85,118.46
7/18/1994,37.32,40.37,29.23,34.63,3.57,51.95,18.2,98.89,110.52
7/19/1994,38.63,42.74,29.73,36.39,4.4,45.88,17.75,98.64,119.9
7/20/1994,39.26,42.57,29.74,36.24,5.31,46.87,18.01,98.54,128.06
7/21/1994,37.89,40.27,30.07,35.3,4.38,47.27,17.2,98.75,125.58
7/22/1994,36.79,37.87,31.31,34.43,2.26,50.77,17.58,98.95,126.36
7/23/1994,35.24,37.27,30.47,33.53,2.13,54.64,17.99,98.97,125.94
7/24/1994,38.78,42.06,29.71,35.99,3.39,45.45,17.17,98.78,107.19
7/25/1994,39.61,42.92,30.51,36.93,4.21,43.81,17.43,98.77,
7/26/1994,40.09,43.98,30.01,37.13,4.38,40.84,16.44,98.63,123.09
7/27/1994,39.75,44.98,29.36,37.21,6.03,39.67,16.06,98.5,
7/28/1994,39.71,43.73,29.45,36.7,4.68,41.22,16.21,98.6,122.85
7/29/1994,41.71,45.3,30.8,38.22,3.71,37.04,15.85,98.36,
7/30/1994,41.21,45.56,29.4,37.8,4.14,35.88,15.01,98.29,123.64
7/31/1994,40.43,43.41,31.1,37.51,3.58,37.12,15.25,98.57,123.88
8/1/1994,38.48,40.38,31.78,36.26,4.52,41.93,16.06,98.79,127.23
8/2/1994,34.79,37.78,30.89,33.79,4.1,57.98,19.42,98.8,123.61
8/3/1994,32.52,34.95,28.86,31.64,4.43,69.64,20.66,98.94,127.38
8/4/1994,33.79,37.72,25.98,31.64,4.21,58.48,17.27,99.2,123.62
8/5/1994,34.99,39.7,26.66,32.94,4.56,50.4,16.02,99.06,123.62
8/6/1994,36.12,41.28,27.09,34.1,5.13,50.05,17,98.97,123.33
8/7/1994,36.87,41.51,27.74,34.6,4.79,51.93,18.13,99.07,122.9
8/8/1994,37.15,41.33,28.7,34.79,4.29,52.47,18.54,98.99,122.28
8/9/1994,37.31,42.55,28.52,35.24,4.71,48.99,17.77,98.73,123.03
8/10/1994,36.64,41.63,28.37,34.72,4.81,50.59,17.82,98.84,
8/11/1994,37.49,41.02,29.17,35.05,3.24,49.99,17.88,99.11,121.6
8/12/1994,38.69,41.82,29.98,36.04,1.85,45.5,17.16,99.25,
8/13/1994,39.49,43.73,30.36,37.11,2.16,40.62,16.24,99.16,122.14
8/14/1994,40.06,43.55,31.37,37.32,1.95,39.28,15.89,99.14,
8/15/1994,39.07,44.61,29.29,36.33,4.41,38.84,14.93,98.82,121.99
8/16/1994,36.83,42.62,27.16,34.67,5.04,43.55,15.3,98.68,113.83
8/17/1994,37.5,40.43,29.26,35.02,2.8,43.26,15.42,99.12,123.26
8/18/1994,38.64,42.06,31.22,36.48,1.95,35.52,13.7,99.18,116.48
8/19/1994,38.93,44.06,29.8,37.07,3.31,33.43,13.34,99.01,119.83
8/20/1994,36.9,39.8,31.96,35.57,4.4,44.71,16.46,99.05,116.97
8/21/1994,37.18,41.48,29.8,35.16,4.17,48.97,17.63,99.09,118.43
8/22/1994,37.19,40.6,29.95,34.74,3.6,53.99,18.98,99.21,115.51
8/23/1994,36.88,40.11,28.81,34.39,4.12,51.71,17.83,99.17,
8/24/1994,38.16,42.72,28.93,35.6,5.15,46.96,17.32,99,118.48
8/25/1994,37.68,42.74,28.43,35.28,5.07,44.17,16.01,98.98,116.15
8/26/1994,37.93,42.58,28.08,35.28,3.6,43.31,15.67,99.11,
8/27/1994,39.05,42.73,30.23,36.68,2.55,36.73,14.34,99.14,113.59
8/28/1994,39.38,43.54,32.22,37.57,3.88,35.93,14.72,99.12,
8/29/1994,38.71,43.18,31.58,36.96,2.88,37.84,15.01,99.1,107.91
8/30/1994,36.54,40.73,29.77,34.94,2.8,47.2,16.78,99.08,
8/31/1994,37.73,42.51,29.36,35.76,2.42,45.93,17.09,99.03,85.49
9/1/1994,36.94,41.35,30.64,35.62,2.73,45.77,16.88,99.13,106.09
9/2/1994,36.03,39.81,29.48,34.91,3.66,45.57,16.15,99.16,115.02
9/3/1994,35.48,39.37,30.31,34.26,4.33,47.9,16.37,99.2,112.49
9/4/1994,31.76,34.85,28.8,31.3,2.4,67.01,19.4,99.35,106.25
9/5/1994,31.54,34.59,27.07,30.54,2.29,71.59,19.83,99.5,106.96
9/6/1994,33.17,38.11,27.03,31.95,2.36,59.01,17.7,99.44,102.18
9/7/1994,34.55,39.62,26.95,33.19,1.36,52.81,17,99.31,110.17
9/8/1994,34.55,40.55,27.38,33.38,3.06,51.75,16.8,99.43,
9/9/1994,35.31,41.05,27.92,34.06,1.46,47.33,15.96,99.46,110.5
9/10/1994,33.22,40.23,23.81,32.26,1.75,36.04,10.96,99.36,108.63
9/11/1994,34.11,40.52,25.23,32.53,2.03,41.94,12.95,99.49,
9/12/1994,33.87,40.54,24.99,32.02,3.31,49.24,14.77,99.62,109.47
9/13/1994,32.11,39.19,22.92,30.57,3.54,51.02,14.09,99.6,
9/14/1994,32.55,39.37,23.45,30.98,3.44,48.96,13.83,99.67,106.12
9/15/1994,32.64,39.59,23.88,31.26,4.41,48.3,13.86,99.66,
9/16/1994,32.36,38.72,23.71,30.59,3.08,46.09,12.72,99.7,103.29
9/17/1994,30.74,38.08,21.89,29.51,2.24,35.1,9.09,99.67,105.65
9/18/1994,29.62,38.3,20.11,28.68,2.61,21.51,5.3,99.64,108.23
9/19/1994,29.53,38.51,19.49,28.47,4.28,31.59,7.71,99.48,105.17
9/20/1994,29.98,38,20.71,28.63,4.51,47.43,11.7,99.62,107
9/21/1994,29.16,37.17,19.49,27.77,3.62,44.72,10.46,99.87,106.6
9/22/1994,28.6,36.76,18.41,27.17,2.93,40.17,9.04,100.1,107.25
9/23/1994,29.33,36.11,20.19,27.76,2.44,38.61,8.97,100.39,103.35
9/24/1994,29.41,36.55,20.31,27.87,2.44,31.59,7.38,100.41,
9/25/1994,29.16,37.64,19.46,27.86,2.87,31.35,7.33,100.27,102.9
9/26/1994,29.18,37.57,19.22,27.97,4.02,35.96,8.48,100.16,102.26
9/27/1994,29.72,38.2,20.02,28.31,3.03,38.45,9.25,100.1,
9/28/1994,29.53,38.52,19.74,28.35,2.37,31.39,7.55,100.17,100.59
9/29/1994,29.03,38.31,20.02,28.35,2.43,23.19,5.58,100.18,
9/30/1994,30.51,38.78,21.45,29.55,1.58,24.25,6.25,100.28,98.16
10/1/1994,30.86,39.26,22.05,29.92,2.84,23.91,6.29,100.23,
10/2/1994,31.51,39.16,22,30.03,2.7,33.08,8.79,100.09,102.74
10/3/1994,31.84,39.76,21.9,30.44,3.29,33.13,9.03,99.92,98.99
10/4/1994,32.9,40.3,23,31.25,3.19,37.11,10.59,99.98,99.83
10/5/1994,33.33,40.39,24.22,31.9,2.03,35.22,10.42,100,96.39
10/6/1994,31.44,39.5,22.55,31.51,2.57,18.76,5.41,100.15,99.78
10/7/1994,31.99,39.58,23.64,31.63,1.86,21.08,6.12,100.2,97.64
10/8/1994,29.91,39.01,21.33,29.69,3.77,13.4,3.48,100.12,
10/9/1994,29.44,39.42,20.21,29.17,3.82,11.9,3,100.11,97.04
10/10/1994,28.39,36.73,20.17,27.82,4.94,11.07,2.57,100.2,
10/11/1994,26.3,35.29,16.97,25.72,3.35,12.41,2.55,100.18,93.8
10/12/1994,24.87,34.05,15.73,25.11,2.74,14.13,2.8,100.17,89.51
10/13/1994,25.54,33.75,16.42,25.11,1.78,15.95,3.16,100.28,
10/14/1994,25.63,34.88,16.07,25.12,2.36,13.96,2.76,100.5,90.49
10/15/1994,25.32,34.61,19.48,25.78,1.79,16.21,3.34,100.56,
10/16/1994,25.73,35.01,18.99,26.12,1.57,14.16,2.97,100.51,88.82
10/17/1994,26.61,36.41,18.92,27.04,1.69,15.02,3.33,100.66,
10/18/1994,27.48,37.3,19.5,27.37,1.68,15.16,3.42,100.77,88.85
10/19/1994,27.59,37.86,19.51,27.58,2.24,16.15,3.69,100.72,87.11
10/20/1994,28.3,38.04,19.56,27.68,2.29,16.17,3.72,100.62,87.28
10/21/1994,28.84,38.92,20.15,28.35,2.82,16.11,3.86,100.49,84.34
10/22/1994,29.25,39.33,20.75,28.85,2.75,16.6,4.09,100.52,
10/23/1994,29.46,38.7,20.61,28.72,2.96,18.44,4.52,100.44,83.17
10/24/1994,29.89,39.08,21.84,29.23,1.78,19.99,5.04,100.4,
10/25/1994,30.41,38.72,22.07,29.44,2.59,24.65,6.3,100.34,79.62
10/26/1994,29.27,37.17,21.62,28.71,4.15,23.8,5.84,100.29,
10/27/1994,27.4,35.56,19.26,27.19,2.65,14.1,3.15,100.45,79.17
10/28/1994,26.52,35.92,16.56,26.11,2.11,21.62,4.54,100.55,76.63
10/29/1994,27.17,36.02,20.65,27.95,1.4,17.37,4.06,100.59,
10/30/1994,26.67,36,18.1,27.27,1.84,17.02,3.82,100.68,73.31
10/31/1994,26.74,35.9,18.44,27.33,1.97,16.18,3.64,100.85,
11/1/1994,26.93,36.05,18.23,27.81,1.52,16.18,3.74,100.96,77.63
11/2/1994,28.45,37.31,21.49,28.69,1.67,15.74,3.83,100.83,
11/3/1994,29.25,37.29,22.94,28.78,2.67,21.28,5.21,100.73,74.87
11/4/1994,26.89,34.58,18.9,26.02,3.29,22.74,4.72,101.13,70.98
11/5/1994,26.7,34.98,17.95,26.4,1.54,21.68,4.61,101.07,75.69
11/6/1994,26.06,34.97,19.56,26.77,1.51,21.55,4.69,100.94,69.64
11/7/1994,26.53,36.06,19.9,26.6,2.47,22.77,4.91,100.84,
11/8/1994,26.52,35.25,18.43,25.93,2.86,22.26,4.61,100.9,66.95
11/9/1994,25.82,34.44,18,25.24,1.94,20.16,4,101.03,
11/10/1994,25.74,34.8,19.61,25.79,1.81,18.52,3.8,101,69.49
11/11/1994,25.83,34.65,19.9,25.97,1.96,20.49,4.26,100.69,
11/12/1994,26.01,34.53,17.95,25.5,2.24,25.2,5.11,100.43,69.59
11/13/1994,25.99,34.61,19.84,26.07,1.66,26.06,5.46,100.52,56.61
11/14/1994,25.73,34.04,19.25,25.95,1.88,23.84,4.95,100.72,
11/15/1994,24.49,33.46,16.96,24.42,3.03,22.67,4.29,100.87,68.22
11/16/1994,24.37,33.61,16.96,24.83,1.73,19.91,3.86,100.97,
11/17/1994,24.23,33.3,18.93,24.89,1.48,18.67,3.63,101.02,69.07
11/18/1994,23.9,33.29,17.06,23.81,1.97,19.08,3.48,100.99,
11/19/1994,24.21,33.69,18.21,24.58,2.8,19.44,3.72,100.81,66.83
11/20/1994,24.03,32.92,17,23.93,2.47,25.45,4.69,100.69,64.94
11/21/1994,23.24,31.87,16,23.73,1.79,22.6,4.1,100.97,66.13
11/22/1994,23.08,32.44,17.45,23.95,1.32,20.47,3.76,101.03,64.39
11/23/1994,22.52,32.09,16.24,23.16,1.8,20.24,3.54,101.17,
11/24/1994,21.71,31.35,15.23,21.91,2.93,24.14,3.92,101.11,59.37
11/25/1994,23.27,32.54,16.08,23.19,2.67,24.47,4.31,100.82,
11/26/1994,24.57,33.46,16.41,23.9,2.81,32.17,5.94,100.41,56.15
11/27/1994,23.05,31.97,15.54,23.45,2.25,34.55,6.2,100.46,
11/28/1994,23.14,32.54,16.28,24.09,1.75,27.58,5.14,100.49,59.95
11/29/1994,23.26,32.84,16.71,24.39,1.52,25.4,4.82,100.44,56.91
11/30/1994,23.35,33.3,17.74,23.82,2.19,24.15,4.43,100.47,
12/1/1994,23.31,32.94,16.42,22.94,2.62,33.18,5.77,100.57,54.6
12/2/1994,22.61,32.46,14.54,22.57,1.92,35.71,6.07,100.65,
12/3/1994,22.96,31.8,16.32,23.1,2.36,31.54,5.53,100.63,58.93
12/4/1994,22.44,31.1,15.27,22.14,3.15,29.96,4.94,100.95,
12/5/1994,22.22,31.23,15.23,22.13,2.39,27.38,4.5,101.13,59.92
12/6/1994,24.28,32.63,16.64,23.91,3.79,35.44,6.53,100.73,56.23
12/7/1994,22.57,30.92,16.66,22.72,2.67,34.02,5.84,100.43,57.29
12/8/1994,17.41,24.31,10.7,17.12,5.87,10.36,1.25,100.71,56.19
12/9/1994,12.71,22.63,5.34,13.17,3.63,7.9,0.74,100.94,
12/10/1994,12.26,23.77,3.94,12.49,4.53,7.04,0.63,101.05,50.51
12/11/1994,12.41,24.15,4.22,13.5,3.05,8.68,0.83,101.06,
12/12/1994,13.99,25.42,9.39,15.49,2.76,7.46,0.81,100.99,51.11
12/13/1994,15.49,25.83,10.2,16.6,2.15,10.8,1.26,101.15,
12/14/1994,16.11,26.44,10.88,17.84,2.5,21.64,2.73,101.05,27.72
12/15/1994,16.94,26.03,8.94,17.79,2.03,20.97,2.63,101.31,54.98
12/16/1994,16.57,27.29,13.03,18.61,1.9,14.82,1.96,101.03,
12/17/1994,16.58,26.91,9.96,17.32,2.18,19.13,2.34,100.94,55.59
12/18/1994,16.91,27.58,10.36,17.65,2.03,15.5,1.92,101.33,
12/19/1994,17.36,27.82,11.36,18.09,2.13,16.41,2.09,101.48,60.22
12/20/1994,18.91,28.88,13.82,19.92,2.19,17.29,2.47,101.37,
12/21/1994,19.89,29.08,12.78,19.92,2.92,25.06,3.59,101.35,54.04
12/22/1994,21.06,29.57,13.94,20.82,3.15,35.51,5.39,101.12,52.35
12/23/1994,18.72,25.1,13.67,18.91,2.62,39.17,5.28,101.2,55.41
12/24/1994,20.35,26.76,13.39,19.82,1.81,38.14,5.45,101.04,55.77
12/25/1994,18.92,24.22,15.14,18.4,3.28,49.93,6.54,101.06,
12/26/1994,17.78,22.34,13.05,16.67,3.33,56.05,6.57,101.17,53.77
12/27/1994,15.19,21.53,9.79,14.72,3.69,62.79,6.5,101.06,
12/28/1994,11.36,21.17,4.23,11.51,4.56,37.36,3.13,101.1,53.76
12/29/1994,11.3,21.9,4.27,12.75,2.96,29.41,2.67,101.3,
12/30/1994,12.12,22.17,5.62,14.02,1.76,30.18,2.97,101.28,55.88
12/31/1994,13.22,23.85,8.29,15.87,1.41,30.47,3.39,101.03,57.75
1/1/1995,14.7,24.68,9.4,16.37,1.93,32.23,3.71,100.88,49.81
1/2/1995,14.94,24.39,7.55,15.46,2.57,34.93,3.8,100.72,45.33
1/3/1995,13.95,22.23,6.6,14.37,2.12,36.86,3.73,100.83,52.64
1/4/1995,14.04,23.44,7.53,15.41,1.79,36.13,3.9,101.09,43.59
1/5/1995,14.36,24.12,9.79,16.13,1.24,31.67,3.58,101.27,49.1
1/6/1995,14.06,24.24,7.36,15.46,2.48,32.91,3.56,101.41,49.81
